symbol,as_of_date,available_date,shares_outstanding,promoter_holding_pct,public_holding_pct,source,filing_id
AHLADA,2026-06-30,2026-07-20,12921909,49.3,50.7,NSE_SHAREHOLDING_XBRL,SHP_1697288_20072026062120
AHLEAST,2026-03-31,2026-04-09,17292670,65.63,34.37,NSE_SHAREHOLDING_XBRL,SHP_1648214_09042026054609
AHLEAST,2026-06-30,2026-07-17,17292670,65.63,34.37,NSE_SHAREHOLDING_XBRL,SHP_1695337_17072026045429
AHLUCONT,2026-03-31,2026-04-07,66984774,55.32,44.68,NSE_SHAREHOLDING_XBRL,SHP_1646513_07042026113004
AHLUCONT,2026-06-30,2026-07-09,66984774,55.32,44.68,NSE_SHAREHOLDING_XBRL,SHP_1689543_09072026111935
AHLWEST,2026-03-31,2026-04-17,11650573,72.12,27.88,NSE_SHAREHOLDING_XBRL,SHP_1652943_17042026010054
AHLWEST,2026-06-30,2026-07-20,11650573,72.12,27.88,NSE_SHAREHOLDING_XBRL,SHP_1696703_20072026025649
AIAENG,2026-03-31,2026-04-15,93313465,58.5,41.5,NSE_SHAREHOLDING_XBRL,SHP_1651337_15042026035242
AIAENG,2026-06-30,2026-07-16,93313465,58.5,41.5,NSE_SHAREHOLDING_XBRL,SHP_1694327_16072026045645
AIFL,2026-03-31,2026-04-21,25207940,14.76,85.24,NSE_SHAREHOLDING_XBRL,SHP_1656662_21042026070354
AIFL,2026-06-30,2026-07-22,25207940,14.76,85.24,NSE_SHAREHOLDING_XBRL,SHP_1699148_22072026023145
AIIL,2026-03-31,2026-05-12,849242418,68.81,31.19,NSE_SHAREHOLDING_XBRL,SHP_1663729_05052026055832
AIIL,2026-06-30,2026-07-20,849242418,68.81,31.19,NSE_SHAREHOLDING_XBRL,SHP_1697577_20072026084500
AIRAN,2026-03-31,2026-04-18,125023508,72.21,27.79,NSE_SHAREHOLDING_XBRL,SHP_1654076_18042026030600
AIRAN,2026-06-30,2026-07-18,125023508,72.21,27.79,NSE_SHAREHOLDING_XBRL,SHP_1696026_18072026021928
AIROLAM,2026-03-31,2026-04-20,15003209,53.41,46.59,NSE_SHAREHOLDING_XBRL,SHP_1654568_20042026114141
AIROLAM,2026-06-30,2026-07-06,15003209,53.41,46.59,NSE_SHAREHOLDING_XBRL,SHP_1688478_06072026053300
AJANTPHARM,2026-03-31,2026-04-13,124926456,66.25,33.75,NSE_SHAREHOLDING_XBRL,SHP_1649511_13042026112752
AJANTPHARM,2026-06-30,2026-07-14,124942938,63.48,36.52,NSE_SHAREHOLDING_XBRL,SHP_1692098_14072026024314
AJAXENGG,2026-03-31,2026-07-09,114404564,80.0,20.0,NSE_SHAREHOLDING_XBRL,SHP_1680454_09062026043523
AJAXENGG,2026-06-30,2026-07-21,114404564,80.0,20.0,NSE_SHAREHOLDING_XBRL,SHP_1698424_21072026050919
AJMERA,2026-03-31,2026-04-21,196796189,68.23,31.77,NSE_SHAREHOLDING_XBRL,SHP_1656413_21042026052445
AJMERA,2026-06-30,2026-07-18,196783897,68.56,31.44,NSE_SHAREHOLDING_XBRL,SHP_1695932_18072026120310
AJOONI,2026-03-31,2026-04-10,172275069,26.89,73.11,NSE_SHAREHOLDING_XBRL,SHP_1648488_10042026120011
AJOONI,2026-06-30,2026-07-15,172275069,26.89,73.11,NSE_SHAREHOLDING_XBRL,SHP_1692835_15072026114256
AJRINFRA,2026-03-31,2026-04-16,942162313,10.72,89.28,NSE_SHAREHOLDING_XBRL,SHP_1652701_16042026080505
AJRINFRA,2026-06-30,2026-07-17,942162313,10.72,89.28,NSE_SHAREHOLDING_XBRL,SHP_1694819_17072026112207
